date,state,fips,cases,deaths
2020-02-24,Abruzzo,0,0,0
2020-02-24,Basilicata,0,0,0
2020-02-24,P.A. Bolzano,0,0,0
2020-02-24,Calabria,0,0,0
2020-02-24,Campania,0,0,0
2020-02-24,Emilia-Romagna,0,18,0
2020-02-24,Friuli Venezia Giulia,0,0,0
2020-02-24,Lazio,0,2,0
2020-02-24,Liguria,0,0,0
2020-02-24,Lombardia,0,166,6
2020-02-24,Marche,0,0,0
2020-02-24,Molise,0,0,0
2020-02-24,Piemonte,0,3,0
2020-02-24,Puglia,0,0,0
2020-02-24,Sardegna,0,0,0
2020-02-24,Sicilia,0,0,0
2020-02-24,Toscana,0,0,0
2020-02-24,P.A. Trento,0,0,0
2020-02-24,Umbria,0,0,0
2020-02-24,Valle d'Aosta,0,0,0
2020-02-24,Veneto,0,32,1
2020-02-25,Abruzzo,0,0,0
2020-02-25,Basilicata,0,0,0
2020-02-25,P.A. Bolzano,0,1,0
2020-02-25,Calabria,0,0,0
2020-02-25,Campania,0,0,0
2020-02-25,Emilia-Romagna,0,26,0
2020-02-25,Friuli Venezia Giulia,0,0,0
2020-02-25,Lazio,0,2,0
2020-02-25,Liguria,0,1,0
2020-02-25,Lombardia,0,231,9
2020-02-25,Marche,0,0,0
2020-02-25,Molise,0,0,0
2020-02-25,Piemonte,0,3,0
2020-02-25,Puglia,0,0,0
2020-02-25,Sardegna,0,0,0
2020-02-25,Sicilia,0,3,0
2020-02-25,Toscana,0,2,0
2020-02-25,P.A. Trento,0,0,0
2020-02-25,Umbria,0,0,0
2020-02-25,Valle d'Aosta,0,0,0
2020-02-25,Veneto,0,42,1
2020-02-26,Abruzzo,0,0,0
2020-02-26,Basilicata,0,0,0
2020-02-26,P.A. Bolzano,0,1,0
2020-02-26,Calabria,0,0,0
2020-02-26,Campania,0,0,0
2020-02-26,Emilia-Romagna,0,46,1
2020-02-26,Friuli Venezia Giulia,0,0,0
2020-02-26,Lazio,0,0,0
2020-02-26,Liguria,0,11,0
2020-02-26,Lombardia,0,249,9
2020-02-26,Marche,0,1,0
2020-02-26,Molise,0,0,0
2020-02-26,Piemonte,0,3,0
2020-02-26,Puglia,0,0,0
2020-02-26,Sardegna,0,0,0
2020-02-26,Sicilia,0,3,0
2020-02-26,Toscana,0,2,0
2020-02-26,P.A. Trento,0,0,0
2020-02-26,Umbria,0,0,0
2020-02-26,Valle d'Aosta,0,0,0
2020-02-26,Veneto,0,69,2
2020-02-27,Abruzzo,0,1,0
2020-02-27,Basilicata,0,0,0
2020-02-27,P.A. Bolzano,0,1,0
2020-02-27,Calabria,0,0,0
2020-02-27,Campania,0,3,0
2020-02-27,Emilia-Romagna,0,96,1
2020-02-27,Friuli Venezia Giulia,0,0,0
2020-02-27,Lazio,0,0,0
2020-02-27,Liguria,0,19,0
2020-02-27,Lombardia,0,349,14
2020-02-27,Marche,0,3,0
2020-02-27,Molise,0,0,0
2020-02-27,Piemonte,0,2,0
2020-02-27,Puglia,0,1,0
2020-02-27,Sardegna,0,0,0
2020-02-27,Sicilia,0,2,0
2020-02-27,Toscana,0,2,0
2020-02-27,P.A. Trento,0,0,0
2020-02-27,Umbria,0,0,0
2020-02-27,Valle d'Aosta,0,0,0
2020-02-27,Veneto,0,109,2
2020-02-28,Abruzzo,0,1,0
2020-02-28,Basilicata,0,0,0
2020-02-28,P.A. Bolzano,0,1,0
2020-02-28,Calabria,0,1,0
2020-02-28,Campania,0,4,0
2020-02-28,Emilia-Romagna,0,143,2
2020-02-28,Friuli Venezia Giulia,0,0,0
2020-02-28,Lazio,0,0,0
2020-02-28,Liguria,0,19,0
2020-02-28,Lombardia,0,474,17
2020-02-28,Marche,0,6,0
2020-02-28,Molise,0,0,0
2020-02-28,Piemonte,0,11,0
2020-02-28,Puglia,0,3,0
2020-02-28,Sardegna,0,0,0
2020-02-28,Sicilia,0,2,0
2020-02-28,Toscana,0,7,0
2020-02-28,P.A. Trento,0,0,0
2020-02-28,Umbria,0,0,0
2020-02-28,Valle d'Aosta,0,0,0
2020-02-28,Veneto,0,149,2
2020-02-29,Abruzzo,0,2,0
